NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Engel, A. 2002. Direct relationship between CO2 uptake and transparent exopolymer particles production in natural phytoplankton. Journal of Plankton Research 24(1): 49­53.",Engel,J PLANKTON RES,2002,1999,1999,1,marine,Germany,Baltic Sea,10.1093/plankt/24.1.49 ,53,4.82,,Direct relationship between CO2 uptake and transparent exopolymer particles production in natural phytoplankton.,None,Robinson,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Realizing the Energy Potential of Methane Hydrate for the United States,"Boetius, A., K. Ravenschlag, C. J. Schubert, D. Rickert, F. Widdel, A. Gieseke, R. Amann, B. B. Jørgensen, U. Witte, and O. Pfannkuche. 2000. A marine microbial consortium apparently mediating anaerobic oxidation of methane. Nature 407:623-626.",Boetius,NATURE,2000,1999,1999,1,marine,Germany,USA,  10.1038/35036572,980,,0,Evidence of structured consortium of archaea and sulphate-reducing bacteria in marine sediments,NA,GrorudColvert,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Webster, N.S., L.D. Smith, A.J. Heyward, J.E.M. Watts, R.I. Webb, L.L. Blackall, and A.P. Negri. 2004. Metamorphosis of a scleractinian coral in response to microbial biofilms. Applied and Environmental Microbiology 70: 1213­1221.",Webster,APPL ENVIRON MICROB,2004,2000,2000,1,marine,Australia,Australia,10.1128/AEM.70.2.1213-1221.2004,91,10.11,0,How does community structure of biofilms influence coral metamorphosis?,None,Close,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Tanner, J.E. 2005. Edge effects on fauna in fragmented seagrass meadows. Australia Ecology 30(2):210-218.",Tanner,AUSTRAL ECOL,2005,2000,2000,1,marine,Australia,Australia,10.1111/j.1442-9993.2005.01438.x,44,5.50,0,What effect does patch edge in seagrass beds have on the crustacean community that lives in the meadows?,None,Barner,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Tortell, P.D., G.R. DiTullio, D.M. Sigman, and F.M.M. Morel. 2002. CO2 effects on taxonomic composition and nutrient utilization in an Equatorial Pacific phytoplankton assemblage. Marine Ecology Progress Series 236: 37­43.",Tortell,MAR ECOL PROG SER,2002,2000,2000,1,marine,Canada,Peru, 10.3354/meps236037,116,,0,Is there a shift in the Equatorial Pacific phytoplankton assemblage when exposed to high CO2 levels?,NA,GrorudColvert,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Gangnery, A., J.M. Chabirand, F. Lagarde, P. Le Gail, J. Oheix, C. Bacher, and D. Buestel. 2003. Growth model of the Pacific oyster, Crassostrea gigas, cultured in Thau lagoon (Me?diterrane?e, France). Aquaculture 215(1-4):267-290.",Gangnery,AQUACULTURE,2003,2000,2001,1,marine,France,France,10.1016/S0044-8486(02)00351-4,37,,0,,,Rose,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Lin, H.J., T.C. Wanga, H.M. Su, and J.J. Hung. 2005. Relative importance of phytoplankton and periphyton on oyster-culture pens in a eutrophic tropical lagoon. Aquaculture 243(1-4):279-290.",Lin,AQUACULTURE,2005,2000,2000,1,marine,Taiwan,Taiwan,10.1016/j.aquaculture.2004.10.004,11,,0,Abundance and productivity of phytoplankton and periphyton on oyster-culture pens,None,Shen,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Ross, K.A., J.P. Thorpe, T.A. Norton, and A.R. Brand. 2002. Fouling in scallop cultivation:
Help or hindrance? Journal of Shellfish Research 21:539-547.",Ross,J SHELL RES,2002,2000,2000,1,marine,United Kingdom,United Kingdom,NA,19,,0,measuring the negative effect of fouling in farmed scallop,None,Focht,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Tiwari, M., K.A. Bjorndal, A.B. Bolten, and B.M. Bolker. 2006. Evaluation of density depen­
dent processes and green turtle Chelonia mydas hatchling production at Tortuguero,
Costa Rica. Marine Ecology Progress Series 326:283­293.",Tiwari,MAR ECOL PROG SER,2006,2000,2000,1,marine,USA,USA, 10.3354/meps326283,17,,0,"What is the role of density-dependent processes in sea turtle populations of Tortuguero, Costa Rica?",NA,GrorudColvert,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Carswell, B., S. Cheesman, and J. Anderson. 2006. The use of spatial analysis for environmental
assessment of shellfish aquaculture in Baynes Sound, Vancouver Island, British
Columbia, Canada. Aquaculture 253(1-4):408-414.",Carswell,AQUACULTURE,2006,2001,2001,1,marine,Canada,Canada,10.1016/j.aquaculture.2005.08.024,4,,0,Mapping habitat of aquaculture species,,Rohrer,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"LeBlanc, A.R., T. Landry, and G. Miron. 2003. Fouling organisms of the blue mussel Mytilus edulis: Their effect on nutrient uptake and release. Journal of Shellfish Research 22:633-638.",LeBlanc,J SHELL RES,2003,2001,2001,1,marine,Canada,Canada,NA,26,,0,,None,Rose,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Al-Horani, F.A., S.M. Al-Moghrabi, and D. de Beer. 2003. The mechanism of calcifification and its relation to photosynthesis and respiration in the scleractinian coral Galaxea fascicularis. Marine Biology 142: 419-426.",Al-Horani,MAR BIOL,2002,2001,2001,1,marine,Germany,Jordan,10.1007/s00227-002-0981-8 ,156,,0,Coral calcification methods,NA,Rohrer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Kudo, H., A. Murakami, and S. Watanabe. 2003. Effects of sand hardness and human beach use on emergence success of loggerhead sea turtles on Yakushima Island, Japan.
Chelonian Conservation and Biology 4:695­696.",Kudo,CHELONIAN CONSERV BI,2003,2001,2001,1,marine,Japan,Japan,NA,NA,,0,sea turtle conservation,NA,Rohrer,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Cabaco, S., A. Alexandre, and R. Santos. 2005. Population-level effects of clam harvesting on
the seagrass Zostera noltii. Marine Ecology Progress Series 298:123-129.",Cabaco,MAR ECOL PROG SER,2005,2001,2001,1,marine,Portugal,Portugal,10.3354/meps298123,17,2.13,0,How is clam harvesting affecting populatiosn of sea grasses in a lagoon n Portugal,NA,Cerny-Chipman,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Gratwicke, B. and M.R. Speight. 2005. The relationship between fish species richness, abundance and habitat complexity in a range of shallow tropical marine habitats. Journal of Fish Biology 66: 650­667.",Gratwicke,J FISH BIOL,2005,2001,2001,1,marine,United Kingdom,British Virgin Islands,10.1111/j.1095-8649.2005.00629.x,109,13.63,0,How does habitat complexity influence the biodiversity of fish assemblages in shallow marine habitats?,NA,Cerny-Chipman,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Realizing the Energy Potential of Methane Hydrate for the United States,"Van Dover, C. L., P. Aharon, J. M. Bernhard, E. Caylord, M. Doerriesa, W. Flickinger, W. Gilhooly, S. K. Goffredi, K. E. Knick, S. A. Macko, S. Rapoport, E. C. Raulfs, C. Ruppel, J. L. Salerno, R. D. Seitz, B. K. Sen Gupta, T. Shank, M. Turnipseed, and R. Vrijenhoek. 2003. Blake Ridge methane seeps: Characterization of a soft-sediment, chemosynthetically based ecosystem. Deep Sea Research Part I: Oceanographic Research Papers 50:281-300.",Van Dover,DEEP-SEA RES PT I,2003,2001,2001,1,marine,USA,Atlantic Ocean,10.1016/S0967-0637(02)00162-0,103,,0,,,Rose,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Sylvan, J.B., Q. Dortch, D.M. Nelson, A.F. Maier Brown, W. Morrison, and J.W. Ammerman. 2006. Phosphorus
limits phytoplankton growth on the Louisiana shelf during the period of hypoxia formation. Environmental
Science & Technology 40(24):7548–7553.",Sylvan,ENVIR SCI TECH,2006,2001,2001,1,marine,USA,USA,10.1021/es061417t,66,,0,What are the variables affecting nutrient limitation and turnover times in the Mississippi River plume?,NA,GrorudColvert,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Clarke, J.T. and S.A. Norman. 2005. Results and evaluation of U.S. Navy shock trial environmental
mitigation of marine mammals and sea turtles. Journal of Cetacean Research
and Management 7(1):43-50.",Clarke,J CETACEAN RES MANAGE,2005,2001,2001,1,marine,USA,USA,NA,NA,#VALUE!,0,Assessed marine mammal abundances before and after experimental detonation.,Not in Web of Science,Cerny-Chipman,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Rivalan, P., P.H. Dutton, E. Baudry, S.E. Roden, and M. Girondot. 2006a. Demographic sce­ nario inferred from genetic data in leatherback turtles nesting in French Guiana and Suriname. Biological Conservation 130(1):1­9.",Rivalan,BIOL CONSERV,2006,2002,2002,1,marine,France,France,10.1016/j.biocon.2005.11.027,12,,0,demography of french leatherback turtles using genetics,None,Focht,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Laffargue, P., M.L. Begout, and F. Lagardere. 2006. Testing the potential effects of shellfish farming on swimming activity and spatial distribution of sole (Solea solea) in a mesocosm.
ICES Journal of Marine Science 63(6):1014-1028.",Laffargue,ICES J MAR SCI,2006,2002,2002,1,marine,France,France,10.1016/j.icesjms.2006.03.018,5,0.71,0,effects of shellfish farming on sole in mesocosm,None,Robinson,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Laffargue, P., M.L. Begout, and F. Lagardere. 2006. Testing the potential effects of shellfish farming on swimming activity and spatial distribution of sole (Solea solea) in a mesocosm.
ICES Journal of Marine Science 63(6):1014-1028.",Laffargue,ICES J MAR SCI,2006,2002,2002,1,marine,France,France,10.1016/j.icesjms.2006.03.018,5,,0,effect of bivalve aquaculture on sole behavior and distribution,NA,ALL,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Caut, S., V. Hulin, and M. Girondot. 2006. Impact of density­dependent nest destruction on emergence success of Guianan leatherback turtles (Dermochelys coriacea). Animal Conservation 9(2):189­197.",Caut,ANIM CONSERV,2006,2002,2002,1,marine,France,French Guiana,10.1111/j.1469-1795.2005.00021.x,14,,0,Carrying capacity of leatherback turtle nests on a beach,None,Shen,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Grantham, B. A., F. Chan, K. J. Nielsen, D. S. Fox, J. A. Barth, A. Huyer, J. Lubchenco, and B. A. Menge. 2004. Upwelling-driven nearshore hypoxia signals ecosystem and oceanographic changes in the northeast Pacific. Nature 429 (6993):749-754.",Grantham,NATURE,2004,2002,2002,1,marine,USA,Pacific Ocean,10.1038/nature02605,176,,0,,None,Rose,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Fleeger, J.W., K.R. Carman, P.B. Weisenhorn, H. Sofranko, T. Marshall, D. Thistle, and J.P. Barry. 2006. Simulated sequestration of anthropogenic carbon dioxide at a deep­sea site: Effects on nematode abundance and biovolume. Deep-Sea Research Part I: Oceanographic Research Papers 53:1135­1147.",Fleeger,DEEP-SEA RES PT I,2006,2002,2002,1,marine,USA,USA,10.1016/j.dsr.2006.05.007,14,2.00,0,What are the effects of deep sea sequestration of CO2?,None,Close,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Bushek, D., D. Richardson, M.Y. Bobo, and L.D. Coen. 2004. Quarantine of oyster shell cultch reduces the abundance of Perkinsus marinus. Journal of Shellfish Research 23:369-373.",Bushek,J SHELL RES,2004,2002,2002,1,marine,USA,USA,NA,10,1.11,0,What are the dynamics of a protozoan oyster pathogen in different types of oyster beds?,None,Barner,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Lymbery, A.J., R.G. Doupe, T. Bennett, and M.R. Starcevich. 2006. Efficacy of a subsurface-flow wetland using the estuarine sedge Juncus kraussii to treat effluent from inland saline aquaculture. Aquacultural Engineering 34(1):1-7.",Lymbery,AQUACULT ENG,2006,2003,2003,1,marine,Australia,Australia,10.1016/j.aquaeng.2005.03.004,18,2.57,0,Can estuarine sedge Juncus be used as a wetland effluent treatment system?,None,Barner,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Whiteley, J. and L. Bendell-Young. 2007. Ecological implications of intertidal mariculture:
Observed differences in bivalve community structure between farm and reference sites.
Journal of Applied Ecology 44(3):495-505.",Whiteley,J APPL ECOL,2007,2003,2003,1,marine,Canada,Canada,10.1111/j.1365-2664.2007.01283.x,11,,0,How does intertidal aquaculature affect non-target species?,None,Reimer,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Jensen, M.P., F.A. Abreu­Grobois, J. Frydenberg, and V. Loeschcke. 2006. Microsatellites pro­ vide insight into contrasting mating patterns in arribada vs. non­arribada olive ridley sea turtle rookeries. Molecular Ecology 15(9):2567­2575.",Jensen,MOL ECOL,2006,2003,2003,1,marine,Costa Rica,Costa Rica,10.1111/j.1365-294X.2006.02951.x,31,,0,Mating patterns elucidated through genetics,NA,Rohrer,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Understanding the Changing Planet : Strategic Directions for the Geographical Sciences,"Reusch. T. B. H., A. Ehlers, A. Ha, and B. Worm. 2005. Ecosystem recovery after climatic extremes enhanced by genotypic diversity. Proceedings of the National Academy of Sciences of the United States of America 102:2826-2831.",Reusch,P NATL ACAD SCI USA,2005,2003,2003,1,marine,Germany,Germany,10.1073/pnas.0500008102,253,31.63,0,Can genotypic diversity affect ecosystem functioning and resilience?,None,Barner,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Gibbs, M.T. 2004. Interactions between bivalve shellfish farms and fishery resources. Aqua- culture 240(1-4):267-296.",Gibbs,AQUACULTURE,2004,2003,2003,1,marine,New Zealand,New Zealand,10.1016/j.aquaculture.2004.06.038,24,2.67,0,How does aquaculture interact with fisheries?,None,Close,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Yalcin-Ozdilek, S and Sonmez, B. 2006. Some properties of new nesting areas of sea turtles in
north­eastern Mediterranean situated on the extension of the Samanda Beach, Turkey.
Journal of Environmental Biology 27(3):537­544.",Yalcin-Ozdilek,J ENVIRON BIOL,2006,2003,2003,1,marine,Turkey,Turkey,NA,2,0.29,0,What are the characteristics of beaches where green sea turtles nest in Turkey?,NA,Cerny-Chipman,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Manzello, D.P., J.A. Kleypas, D.A. Budd, C.M. Eakin, P.W. Glynn, and C. Langdon. 2008. Poorly cemented coral reefs of the eastern tropical Pacific: Possible insights into reef development in a high­CO2 world. Proceedings of the National Academy of Sciences 105(30): 10450­10455.",Manzello,P NATL ACAD SCI USA,2008,2003,2003,1,marine,USA,Eastern Tropical Pacific,10.1073/pnas.0712167105,60,,0,Cementation of coral reefs in naturally high-CO2 upwelling region,"Corals collected in 2003, but water samples collected 2003-2007",Shen,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Burge, C.A., F.J. Griffin, and C.S. Friedman. 2006. Summer mortality and herpes virus infections of the Pacific oyster, Crassostrea gigas, in Tomales Bay, California. Diseases of Aquatic Organisms 72:31-43.",Burge,DIS AQUAT ORGAN,2006,2003,2003,1,marine,USA,USA,10.3354/dao072031,24,,0,,,Rose,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Myers, A.E. and G.C. Hays. 2006. Do leatherback turtles forage during the breeding season? A combination of data­logging devices provide new insights. Marine Ecology Progress Series 322:259­267.",Myers,MAR ECOL PROG SER,2006,2003,2003,1,marine,Wales,West Indies,10.3354/meps322259,37,5.29,,Do leatherback turtles forage during the breeding season? A combination of data­logging devices provide new insights.,None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Cooper, T. F., G. De ‘Ath, K. E. Fabricius, and J. M. Lough. 2008. Declining coral calcification in massive Porites in two nearshore regions of the northern Great Barrier Reef. Global Change Biology 14 (3):529-538.",Cooper,GLOB CHANGE BIOL,2008,2004,2004,1,marine,Australia,Australia, 10.1111/j.1365-2486.2007.01520.x,75,,0,Are there any differences in coral calcification on the Great Barrier Reef over the past 16 years?,"Includes one sample in one year, the 16 years are back-calculated using sclerochronology",GrorudColvert,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Callier, M.D., C.W. McKindsey, and G. Desrosiers. 2008. Evaluation of indicators used to
detect mussel farm influence on the benthos: Two case studies in the Magdalen Islands,
Eastern Canada. Aquaculture 279(1-4):77-88.",Callier,AQUACULTURE,2008,2004,2004,1,marine,Canada,Canada,10.1016/j.aquaculture.2008.03.026,27,,0,Effects of mussel aquaculture on benthic community and sediments,None,Shen,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Clynick, B.G., C.W. McKindsey, and P. Archambault. 2008. Distribution and productivity
of fish and macroinvertebrates in mussel aquaculture sites in the Magdalen Islands
(Quebec, Canada). Aquaculture 283(1-4):203-210.",Clynick,AQUACULTURE,2008,2004,2004,1,marine,Canada,Canada, 10.1016/j.aquaculture.2008.06.009,8,,0,Does suspended bivalve culture increase the abundance and productivity of fish and macroinvertebrates?,NA,GrorudColvert,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
